,consPorc,consVita,consumOaieSiCapra,consPasareDeCurte
U1,0.5355595808152186,0.5989522220450472,-0.5401613488801049,0.25031557738253823
U2,-0.513865776694496,-0.056992941241844536,-0.6283200326228193,0.5812982924416906
U3,-0.7644379807483997,0.5851764390313017,0.2514882664758508,-0.0997835688724633
U4,0.07500910145308776,0.0003062482321457879,0.6303543418051475,0.7726751870473257
